headline,compound,positive,negative,neutral
Marc Benioff says he's 'extremely suspect' of those buying into AGI 'hypnosis',-0.3597,0.0,0.185,0.815
This VC says all signs point to an AI bubble,0.0,0.0,0.0,1.0
BlackRock Offloads Millions in BTC After Weekly Buys – Market ‘Manipulation’ or Routine Rebalance?,0.0,0.0,0.0,1.0
Eric Trump Claims His Company Is Mining ‘3% of the World’s Bitcoin Every Single Day’,0.0,0.0,0.0,1.0
Gavin Newsom’s Bizarro-Trump Schtick Gets Even Weirder With a Memecoin,-0.128,0.0,0.143,0.857
Is Gmail Biased Against Republicans? FTC Probes MAGA’s Latest Conspiracy Theory,-0.6705,0.0,0.379,0.621
"The Tim Ferriss Show Transcripts: Dr. Kevin Tracey — Stimulating the Vagus Nerve to Tame Inflammation, Alleviate Depression, Treat Autoimmune Disorders (e.g., Rheumatoid Arthritis), and Much More (#824)",0.2263,0.163,0.108,0.729
Ransomware crooks knock Swedish municipalities offline for measly sum of $168K,-0.128,0.0,0.13,0.87
An HDMI dummy plug might be the smallest cheap gadget that's actually useful,0.4404,0.195,0.0,0.805
Affiliates Flock to ‘Soulless’ Scam Gambling Machine,-0.5719,0.0,0.381,0.619
Researchers Find VS Code Flaw Allowing Attackers to Republish Deleted Extensions Under Same Names,-0.5719,0.0,0.222,0.778
"U.S. Treasury Sanctions DPRK IT-Worker Scheme, Exposing $600K Crypto Transfers and $1M+ Profits",0.3818,0.28,0.125,0.595
